PART_NUMBER,HC05,,,,
CLASS,IC,,,,
PHYS_DES_PREFIX,J,,,,
VENDOR,UNSPEC,,,,
BODY_NAME,HC05,,,,
JEDEC_TYPE,DIP6-HC05,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,EN,UNSPEC,1,Left,2
2,VCC,UNSPEC,1,Left,2
3,GND,UNSPEC,1,Left,4
4,TXD,UNSPEC,1,Left,6
5,RXD,UNSPEC,1,Left,8
6,STATE,UNSPEC,1,Left,10
