PART_NUMBER,Potentiometer,,,,
CLASS,RESISTOR,,,,
PHYS_DES_PREFIX,R,,,,
VENDOR,UNSPEC,,,,
BODY_NAME,Potentiometer,,,,
JEDEC_TYPE,DIP3-PPTENTIOMETER,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,1,UNSPEC,1,Left,0
2,2,UNSPEC,1,Right,0
3,3,UNSPEC,1,Top,2
